Occupational Group,Detail Occupation ,Median Annual Wage
Building and Grounds Cleaning and Maintenance Occupations,Tree trimmers and pruners,"$32,310"
Building and Grounds Cleaning and Maintenance Occupations,"Grounds maintenance workers, all other","$26,760"
Personal Care and Service Occupations,Gaming supervisors,"$49,290"
Personal Care and Service Occupations,Slot supervisors,"$32,390"
Personal Care and Service Occupations,First-line supervisors of personal service workers,"$35,150"
Personal Care and Service Occupations,Animal trainers,"$25,270"
Personal Care and Service Occupations,Nonfarm animal caretakers,"$19,690"
Personal Care and Service Occupations,Gaming dealers,"$18,630"
Personal Care and Service Occupations,Gaming and sports book writers and runners,"$21,810"
Personal Care and Service Occupations,"Gaming service workers, all other","$23,490"
Personal Care and Service Occupations,Motion picture projectionists,"$19,830"
Personal Care and Service Occupations,"Ushers, lobby attendants, and ticket takers","$18,730"
Personal Care and Service Occupations,Amusement and recreation attendants,"$18,710"
Personal Care and Service Occupations,Costume attendants,"$36,760"
Personal Care and Service Occupations,"Locker room, coatroom, and dressing room attendants","$19,160"
Personal Care and Service Occupations,"Entertainment attendants and related workers, all other","$25,140"
Personal Care and Service Occupations,Embalmers,"$42,240"
Personal Care and Service Occupations,Funeral attendants,"$22,610"
Personal Care and Service Occupations,"Morticians, undertakers, and funeral directors","$46,840"
Personal Care and Service Occupations,Barbers,"$25,090"
Personal Care and Service Occupations,"Hairdressers, hairstylists, and cosmetologists","$22,700"
Personal Care and Service Occupations,"Makeup artists, theatrical and performance","$64,450"
Personal Care and Service Occupations,Manicurists and pedicurists,"$19,220"
Personal Care and Service Occupations,Shampooers,"$18,310"
Personal Care and Service Occupations,Skincare specialists,"$28,640"
Personal Care and Service Occupations,Baggage porters and bellhops,"$20,050"
Personal Care and Service Occupations,Concierges,"$27,250"
Personal Care and Service Occupations,Tour guides and escorts,"$23,940"
Personal Care and Service Occupations,Travel guides,"$30,780"
Personal Care and Service Occupations,Childcare workers,"$19,510"
Personal Care and Service Occupations,Personal care aides,"$19,910"
Personal Care and Service Occupations,Fitness trainers and aerobics instructors,"$31,720"
Personal Care and Service Occupations,Recreation workers,"$22,240"
Personal Care and Service Occupations,Residential advisors,"$24,520"
Personal Care and Service Occupations,"Personal care and service workers, all other","$20,600"
Sales and Related Occupations,First-line supervisors of retail sales workers,"$36,820"
Sales and Related Occupations,First-line supervisors of non-retail sales workers,"$70,060"
Sales and Related Occupations,Cashiers,"$18,970"
Sales and Related Occupations,Gaming change persons and booth cashiers,"$24,690"
Sales and Related Occupations,Counter and rental clerks,"$23,130"
Sales and Related Occupations,Parts salespersons,"$29,550"
Sales and Related Occupations,Retail salespersons,"$21,110"
Sales and Related Occupations,Advertising sales agents,"$46,290"
Sales and Related Occupations,Insurance sales agents,"$48,150"
Sales and Related Occupations,"Securities, commodities, and financial services sales agents","$71,720"
Sales and Related Occupations,Travel agents,"$34,600"
Sales and Related Occupations,"Sales representatives, services, all other","$50,850"
Sales and Related Occupations,"Sales representatives, wholesale and manufacturing, technical and scientific products","$74,970"
Sales and Related Occupations,"Sales representatives, wholesale and manufacturing, except technical and scientific products","$54,230"
Sales and Related Occupations,Demonstrators and product promoters,"$23,860"
Sales and Related Occupations,Models,"$18,750"
Sales and Related Occupations,Real estate brokers,"$58,350"
Sales and Related Occupations,Real estate sales agents,"$39,140"
Sales and Related Occupations,Sales engineers,"$91,830"
Sales and Related Occupations,Telemarketers,"$22,330"
Sales and Related Occupations,"Door-to-door sales workers, news and street vendors, and related workers","$21,470"
Sales and Related Occupations,"Sales and related workers, all other","$25,800"
Office and Administrative Support Occupations,First-line supervisors of office and administrative support workers,"$49,330"
Office and Administrative Support Occupations,"Switchboard operators, including answering service","$25,370"
Office and Administrative Support Occupations,Telephone operators,"$32,850"
Office and Administrative Support Occupations,"Communications equipment operators, all other","$40,250"
Office and Administrative Support Occupations,Bill and account collectors,"$32,480"
Office and Administrative Support Occupations,Billing and posting clerks,"$33,450"
Office and Administrative Support Occupations,"Bookkeeping, accounting, and auditing clerks","$35,170"
Office and Administrative Support Occupations,Gaming cage workers,"$24,610"
Office and Administrative Support Occupations,Payroll and timekeeping clerks,"$37,690"
Office and Administrative Support Occupations,Procurement clerks,"$38,220"
Office and Administrative Support Occupations,Tellers,"$24,940"
Office and Administrative Support Occupations,"Financial clerks, all other","$36,850"
Office and Administrative Support Occupations,Brokerage clerks,"$42,440"
Office and Administrative Support Occupations,Correspondence clerks,"$36,140"
Office and Administrative Support Occupations,"Court, municipal, and license clerks","$34,830"
Office and Administrative Support Occupations,"Credit authorizers, checkers, and clerks","$33,600"
Office and Administrative Support Occupations,Customer service representatives,"$30,580"
Office and Administrative Support Occupations,"Eligibility interviewers, government programs","$40,530"
Office and Administrative Support Occupations,File clerks,"$26,190"
Office and Administrative Support Occupations,"Hotel, motel, and resort desk clerks","$20,340"
Office and Administrative Support Occupations,"Interviewers, except eligibility and loan","$29,910"
Office and Administrative Support Occupations,"Library assistants, clerical","$23,440"
Office and Administrative Support Occupations,Loan interviewers and clerks,"$35,310"
Office and Administrative Support Occupations,New accounts clerks,"$31,720"
Office and Administrative Support Occupations,Order clerks,"$29,480"
Office and Administrative Support Occupations,"Human resources assistants, except payroll and timekeeping","$37,510"
Office and Administrative Support Occupations,Receptionists and information clerks,"$25,990"
Office and Administrative Support Occupations,Reservation and transportation ticket agents and travel clerks,"$32,400"
Office and Administrative Support Occupations,"Information and record clerks, all other","$37,240"
Office and Administrative Support Occupations,Cargo and freight agents,"$39,720"
Office and Administrative Support Occupations,Couriers and messengers,"$25,440"
Office and Administrative Support Occupations,"Police, fire, and ambulance dispatchers","$36,300"
Office and Administrative Support Occupations,"Dispatchers, except police, fire, and ambulance","$35,690"
Office and Administrative Support Occupations,"Meter readers, utilities","$35,940"
Office and Administrative Support Occupations,Postal service clerks,"$53,090"
Office and Administrative Support Occupations,Postal service mail carriers,"$56,490"
Office and Administrative Support Occupations,"Postal service mail sorters, processors, and processing machine operators","$53,090"
Office and Administrative Support Occupations,"Production, planning, and expediting clerks","$43,740"
Office and Administrative Support Occupations,"Shipping, receiving, and traffic clerks","$29,010"
Office and Administrative Support Occupations,Stock clerks and order fillers,"$22,050"
Office and Administrative Support Occupations,"Weighers, measurers, checkers, and samplers, recordkeeping","$27,920"
Office and Administrative Support Occupations,Executive secretaries and executive administrative assistants,"$47,500"
Office and Administrative Support Occupations,Legal secretaries,"$42,170"
Office and Administrative Support Occupations,Medical secretaries,"$31,350"
Office and Administrative Support Occupations,"Secretaries and administrative assistants, except legal, medical, and executive","$32,410"
Office and Administrative Support Occupations,Computer operators,"$38,390"
Office and Administrative Support Occupations,Data entry keyers,"$28,010"
Office and Administrative Support Occupations,Word processors and typists,"$35,270"
Office and Administrative Support Occupations,Desktop publishers,"$37,040"
Office and Administrative Support Occupations,Insurance claims and policy processing clerks,"$35,700"
Office and Administrative Support Occupations,"Mail clerks and mail machine operators, except postal service","$26,900"
Office and Administrative Support Occupations,"Office clerks, general","$27,470"
Office and Administrative Support Occupations,"Office machine operators, except computer","$27,950"
Office and Administrative Support Occupations,Proofreaders and copy markers,"$32,780"
Office and Administrative Support Occupations,Statistical assistants,"$39,840"
Office and Administrative Support Occupations,"Office and administrative support workers, all other","$31,060"
"Farming, Fishing, and Forestry Occupations","First-line supervisors of farming, fishing, and forestry workers","$43,660"
"Farming, Fishing, and Forestry Occupations",Agricultural inspectors,"$42,160"
"Farming, Fishing, and Forestry Occupations",Animal breeders,"$34,250"
"Farming, Fishing, and Forestry Occupations","Graders and sorters, agricultural products","$19,150"
"Farming, Fishing, and Forestry Occupations",Agricultural equipment operators,"$25,860"
"Farming, Fishing, and Forestry Occupations","Farmworkers and laborers, crop, nursery, and greenhouse","$18,670"
"Farming, Fishing, and Forestry Occupations","Farmworkers, farm, ranch, and aquacultural animals","$22,060"
"Farming, Fishing, and Forestry Occupations","Agricultural workers, all other","$25,140"
"Farming, Fishing, and Forestry Occupations",Fishers and related fishing workers,"$33,430"
"Farming, Fishing, and Forestry Occupations",Forest and conservation workers,"$24,340"
"Farming, Fishing, and Forestry Occupations",Fallers,"$35,250"
"Farming, Fishing, and Forestry Occupations",Logging equipment operators,"$33,380"
"Farming, Fishing, and Forestry Occupations",Log graders and scalers,"$32,880"
"Farming, Fishing, and Forestry Occupations","Logging workers, all other","$34,260"
Construction and Extraction Occupations,First-line supervisors of construction trades and extraction workers,"$59,700"
Construction and Extraction Occupations,Boilermakers,"$56,560"
Construction and Extraction Occupations,Brickmasons and blockmasons,"$46,440"
Construction and Extraction Occupations,Stonemasons,"$37,350"
Construction and Extraction Occupations,Carpenters,"$39,940"
Construction and Extraction Occupations,Carpet installers,"$36,740"
Construction and Extraction Occupations,"Floor layers, except carpet, wood, and hard tiles","$35,510"
Construction and Extraction Occupations,Floor sanders and finishers,"$33,240"
Construction and Extraction Occupations,Tile and marble setters,"$37,040"
Construction and Extraction Occupations,Cement masons and concrete finishers,"$35,760"
Construction and Extraction Occupations,Terrazzo workers and finishers,"$39,740"
Construction and Extraction Occupations,Construction laborers,"$29,990"
Construction and Extraction Occupations,"Paving, surfacing, and tamping equipment operators","$35,840"
Construction and Extraction Occupations,Pile-driver operators,"$48,480"
Construction and Extraction Occupations,Operating engineers and other construction equipment operators,"$41,870"
Construction and Extraction Occupations,Drywall and ceiling tile installers,"$37,210"
Construction and Extraction Occupations,Tapers,"$45,290"
Construction and Extraction Occupations,Electricians,"$49,840"
Construction and Extraction Occupations,Glaziers,"$37,610"
Construction and Extraction Occupations,"Insulation workers, floor, ceiling, and wall","$32,360"
Construction and Extraction Occupations,"Insulation workers, mechanical","$39,170"
Construction and Extraction Occupations,"Painters, construction and maintenance","$35,190"
Construction and Extraction Occupations,Paperhangers,"$34,600"
Construction and Extraction Occupations,Pipelayers,"$36,180"
Construction and Extraction Occupations,"Plumbers, pipefitters, and steamfitters","$49,140"
Construction and Extraction Occupations,Plasterers and stucco masons,"$37,130"
Construction and Extraction Occupations,Reinforcing iron and rebar workers,"$45,910"
Construction and Extraction Occupations,Roofers,"$35,290"
Construction and Extraction Occupations,Sheet metal workers,"$43,290"
Construction and Extraction Occupations,Structural iron and steel workers,"$46,140"
Construction and Extraction Occupations,Solar photovoltaic installers,"$37,900"
Construction and Extraction Occupations,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","$28,220"
Construction and Extraction Occupations,Helpers--carpenters,"$25,550"
Construction and Extraction Occupations,Helpers--electricians,"$27,670"
Construction and Extraction Occupations,"Helpers--painters, paperhangers, plasterers, and stucco masons","$24,290"
Construction and Extraction Occupations,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters","$26,670"
Construction and Extraction Occupations,Helpers--roofers,"$23,300"
Construction and Extraction Occupations,"Helpers, construction trades, all other","$25,610"
Construction and Extraction Occupations,Construction and building inspectors,"$53,450"
Construction and Extraction Occupations,Elevator installers and repairers,"$76,650"
Construction and Extraction Occupations,Fence erectors,"$30,190"
Construction and Extraction Occupations,Hazardous materials removal workers,"$37,590"
Construction and Extraction Occupations,Highway maintenance workers,"$35,260"
Construction and Extraction Occupations,Rail-track laying and maintenance equipment operators,"$45,920"
Construction and Extraction Occupations,Septic tank servicers and sewer pipe cleaners,"$34,020"
Construction and Extraction Occupations,Segmental pavers,"$33,720"
Construction and Extraction Occupations,"Construction and related workers, all other","$34,990"
Construction and Extraction Occupations,"Derrick operators, oil and gas","$46,900"
Construction and Extraction Occupations,"Rotary drill operators, oil and gas","$49,220"
Construction and Extraction Occupations,"Service unit operators, oil, gas, and mining","$41,970"
Construction and Extraction Occupations,"Earth drillers, except oil and gas","$40,790"
Construction and Extraction Occupations,"Explosives workers, ordnance handling experts, and blasters","$48,620"
Construction and Extraction Occupations,Continuous mining machine operators,"$51,950"
Construction and Extraction Occupations,Mine cutting and channeling machine operators,"$47,950"
Construction and Extraction Occupations,"Mining machine operators, all other","$46,810"
Construction and Extraction Occupations,"Rock splitters, quarry","$32,280"
Construction and Extraction Occupations,"Roof bolters, mining","$54,320"
Construction and Extraction Occupations,"Roustabouts, oil and gas","$34,130"
Construction and Extraction Occupations,Helpers--extraction workers,"$31,460"
Construction and Extraction Occupations,"Extraction workers, all other","$38,810"
"Installation, Maintenance, and Repair Occupations","First-line supervisors of mechanics, installers, and repairers","$60,250"
"Installation, Maintenance, and Repair Occupations","Computer, automated teller, and office machine repairers","$36,620"
"Installation, Maintenance, and Repair Occupations","Radio, cellular, and tower equipment installers and repairs","$43,900"
"Installation, Maintenance, and Repair Occupations","Telecommunications equipment installers and repairers, except line installers","$54,530"
"Installation, Maintenance, and Repair Occupations",Avionics technicians,"$55,350"
"Installation, Maintenance, and Repair Occupations","Electric motor, power tool, and related repairers","$36,240"
"Installation, Maintenance, and Repair Occupations","Electrical and electronics installers and repairers, transportation equipment","$51,240"
"Installation, Maintenance, and Repair Occupations","Electrical and electronics repairers, commercial and industrial equipment","$52,650"
"Installation, Maintenance, and Repair Occupations","Electrical and electronics repairers, powerhouse, substation, and relay","$68,810"
"Installation, Maintenance, and Repair Occupations","Electronic equipment installers and repairers, motor vehicles","$31,340"
"Installation, Maintenance, and Repair Occupations",Electronic home entertainment equipment installers and repairers,"$35,060"
"Installation, Maintenance, and Repair Occupations",Security and fire alarm systems installers,"$41,030"
"Installation, Maintenance, and Repair Occupations",Aircraft mechanics and service technicians,"$55,210"
"Installation, Maintenance, and Repair Occupations",Automotive body and related repairers,"$38,380"
"Installation, Maintenance, and Repair Occupations",Automotive glass installers and repairers,"$32,650"
"Installation, Maintenance, and Repair Occupations",Automotive service technicians and mechanics,"$36,610"
"Installation, Maintenance, and Repair Occupations",Bus and truck mechanics and diesel engine specialists,"$42,320"
"Installation, Maintenance, and Repair Occupations",Farm equipment mechanics and service technicians,"$34,760"
"Installation, Maintenance, and Repair Occupations","Mobile heavy equipment mechanics, except engines","$46,050"
"Installation, Maintenance, and Repair Occupations",Rail car repairers,"$48,500"
"Installation, Maintenance, and Repair Occupations",Motorboat mechanics and service technicians,"$35,530"
"Installation, Maintenance, and Repair Occupations",Motorcycle mechanics,"$33,140"
"Installation, Maintenance, and Repair Occupations",Outdoor power equipment and other small engine mechanics,"$30,510"
"Installation, Maintenance, and Repair Occupations",Bicycle repairers,"$24,150"
"Installation, Maintenance, and Repair Occupations",Recreational vehicle service technicians,"$34,540"
"Installation, Maintenance, and Repair Occupations",Tire repairers and changers,"$23,410"
"Installation, Maintenance, and Repair Occupations",Mechanical door repairers,"$36,110"
"Installation, Maintenance, and Repair Occupations","Control and valve installers and repairers, except mechanical door","$50,960"
"Installation, Maintenance, and Repair Occupations","Heating, air conditioning, and refrigeration mechanics and installers","$43,640"
"Installation, Maintenance, and Repair Occupations",Home appliance repairers,"$35,170"
"Installation, Maintenance, and Repair Occupations",Industrial machinery mechanics,"$46,920"
"Installation, Maintenance, and Repair Occupations","Maintenance workers, machinery","$40,620"
"Installation, Maintenance, and Repair Occupations",Millwrights,"$49,510"
"Installation, Maintenance, and Repair Occupations","Refractory materials repairers, except brickmasons","$41,370"
"Installation, Maintenance, and Repair Occupations",Electrical power-line installers and repairers,"$63,250"
"Installation, Maintenance, and Repair Occupations",Telecommunications line installers and repairers,"$51,410"
"Installation, Maintenance, and Repair Occupations",Camera and photographic equipment repairers,"$37,980"
"Installation, Maintenance, and Repair Occupations",Medical equipment repairers,"$44,570"
"Installation, Maintenance, and Repair Occupations",Musical instrument repairers and tuners,"$30,630"
"Installation, Maintenance, and Repair Occupations",Watch repairers,"$37,650"
"Installation, Maintenance, and Repair Occupations","Precision instrument and equipment repairers, all other","$52,270"
"Installation, Maintenance, and Repair Occupations","Maintenance and repair workers, general","$35,210"
"Installation, Maintenance, and Repair Occupations",Wind turbine service technicians,"$45,970"
"Installation, Maintenance, and Repair Occupations","Coin, vending, and amusement machine servicers and repairers","$31,150"
"Installation, Maintenance, and Repair Occupations",Commercial divers,"$46,880"
"Installation, Maintenance, and Repair Occupations","Fabric menders, except garment","$27,020"
"Installation, Maintenance, and Repair Occupations",Locksmiths and safe repairers,"$37,560"
"Installation, Maintenance, and Repair Occupations",Manufactured building and mobile home installers,"$28,080"
"Installation, Maintenance, and Repair Occupations",Riggers,"$42,660"
"Installation, Maintenance, and Repair Occupations",Signal and track switch repairers,"$55,450"
"Installation, Maintenance, and Repair Occupations","Helpers--installation, maintenance, and repair workers","$24,210"
"Installation, Maintenance, and Repair Occupations","Installation, maintenance, and repair workers, all other","$36,620"
Production Occupations,First-line supervisors of production and operating workers,"$54,040"
Production Occupations,"Aircraft structure, surfaces, rigging, and systems assemblers","$45,950"
Production Occupations,"Coil winders, tapers, and finishers","$30,840"
Production Occupations,Electrical and electronic equipment assemblers,"$28,810"
Production Occupations,Electromechanical equipment assemblers,"$31,460"
Production Occupations,Engine and other machine assemblers,"$36,110"
Production Occupations,Structural metal fabricators and fitters,"$35,750"
Production Occupations,Fiberglass laminators and fabricators,"$28,830"
Production Occupations,Team assemblers,"$27,640"
Production Occupations,Timing device assemblers and adjusters,"$25,600"
Production Occupations,"Assemblers and fabricators, all other","$25,920"
Production Occupations,Bakers,"$23,140"
Production Occupations,Butchers and meat cutters,"$28,490"
Production Occupations,"Meat, poultry, and fish cutters and trimmers","$22,830"
Production Occupations,Slaughterers and meat packers,"$24,330"
Production Occupations,"Food and tobacco roasting, baking, and drying machine operators and tenders","$28,430"
Production Occupations,Food batchmakers,"$26,550"
Production Occupations,Food cooking machine operators and tenders,"$26,350"
Production Occupations,"Food processing workers, all other","$23,140"
Production Occupations,"Computer-controlled machine tool operators, metal and plastic","$35,580"
Production Occupations,"Computer numerically controlled machine tool programmers, metal and plastic","$45,920"
Production Occupations,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","$32,330"
Production Occupations,"Forging machine setters, operators, and tenders, metal and plastic","$34,060"
Production Occupations,"Rolling machine setters, operators, and tenders, metal and plastic","$37,390"
Production Occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","$29,690"
Production Occupations,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","$33,940"
Production Occupations,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","$31,620"
Production Occupations,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","$36,540"
Production Occupations,"Milling and planing machine setters, operators, and tenders, metal and plastic","$35,820"
Production Occupations,Machinists,"$39,500"
Production Occupations,Metal-refining furnace operators and tenders,"$38,900"
Production Occupations,"Pourers and casters, metal","$34,060"
Production Occupations,"Model makers, metal and plastic","$45,850"
Production Occupations,"Patternmakers, metal and plastic","$42,440"
Production Occupations,Foundry mold and coremakers,"$30,540"
Production Occupations,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","$28,630"
Production Occupations,"Multiple machine tool setters, operators, and tenders, metal and plastic","$33,960"
Production Occupations,Tool and die makers,"$47,000"
Production Occupations,"Welders, cutters, solderers, and brazers","$36,300"
Production Occupations,"Welding, soldering, and brazing machine setters, operators, and tenders","$34,720"
Production Occupations,"Heat treating equipment setters, operators, and tenders, metal and plastic","$34,010"
Production Occupations,"Layout workers, metal and plastic","$42,050"
Production Occupations,"Plating and coating machine setters, operators, and tenders, metal and plastic","$29,720"
Production Occupations,"Tool grinders, filers, and sharpeners","$34,300"
Production Occupations,"Metal workers and plastic workers, all other","$31,060"
Production Occupations,Prepress technicians and workers,"$37,260"
Production Occupations,Printing press operators,"$34,690"
Production Occupations,Print binding and finishing workers,"$29,750"
Production Occupations,Laundry and dry-cleaning workers,"$19,930"
Production Occupations,"Pressers, textile, garment, and related materials","$19,670"
Production Occupations,Sewing machine operators,"$21,270"
Production Occupations,Shoe and leather workers and repairers,"$23,950"
Production Occupations,Shoe machine operators and tenders,"$24,310"
Production Occupations,"Sewers, hand","$22,820"
Production Occupations,"Tailors, dressmakers, and custom sewers","$26,280"
Production Occupations,Textile bleaching and dyeing machine operators and tenders,"$24,210"
Production Occupations,"Textile cutting machine setters, operators, and tenders","$24,050"
Production Occupations,"Textile knitting and weaving machine setters, operators, and tenders","$26,540"
Production Occupations,"Textile winding, twisting, and drawing out machine setters, operators, and tenders","$25,850"
Production Occupations,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","$32,430"
Production Occupations,Fabric and apparel patternmakers,"$38,650"
Production Occupations,Upholsterers,"$29,930"
Production Occupations,"Textile, apparel, and furnishings workers, all other","$25,930"
Production Occupations,Cabinetmakers and bench carpenters,"$30,980"
Production Occupations,Furniture finishers,"$28,500"
Production Occupations,"Model makers, wood","$28,800"
Production Occupations,"Patternmakers, wood","$39,840"
Production Occupations,"Sawing machine setters, operators, and tenders, wood","$26,190"
Production Occupations,"Woodworking machine setters, operators, and tenders, except sawing","$27,030"
Production Occupations,"Woodworkers, all other","$27,360"
Production Occupations,Nuclear power reactor operators,"$74,990"
Production Occupations,Power distributors and dispatchers,"$71,690"
Production Occupations,Power plant operators,"$66,130"
Production Occupations,Stationary engineers and boiler operators,"$53,560"
Production Occupations,Water and wastewater treatment plant and system operators,"$42,760"
Production Occupations,Chemical plant and system operators,"$54,390"
Production Occupations,Gas plant operators,"$61,140"
Production Occupations,"Petroleum pump system operators, refinery operators, and gaugers","$61,850"
Production Occupations,"Plant and system operators, all other","$53,130"
Production Occupations,Chemical equipment operators and tenders,"$47,100"
Production Occupations,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","$38,570"
Production Occupations,"Crushing, grinding, and polishing machine setters, operators, and tenders","$31,830"
Production Occupations,"Grinding and polishing workers, hand","$27,890"
Production Occupations,"Mixing and blending machine setters, operators, and tenders","$33,840"
Production Occupations,"Cutters and trimmers, hand","$24,530"
Production Occupations,"Cutting and slicing machine setters, operators, and tenders","$31,430"
Production Occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","$31,310"
Production Occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders","$35,530"
Production Occupations,"Inspectors, testers, sorters, samplers, and weighers","$34,460"
Production Occupations,Jewelers and precious stone and metal workers,"$35,350"
Production Occupations,Dental laboratory technicians,"$36,090"
Production Occupations,Medical appliance technicians,"$36,100"
Production Occupations,Ophthalmic laboratory technicians,"$28,590"
Production Occupations,Packaging and filling machine operators and tenders,"$25,860"
Production Occupations,"Coating, painting, and spraying machine setters, operators, and tenders","$30,530"
Production Occupations,"Painters, transportation equipment","$39,600"
Production Occupations,"Painting, coating, and decorating workers","$27,790"
Production Occupations,Semiconductor processors,"$33,020"
Production Occupations,Photographic process workers and processing machine operators,"$23,120"
Production Occupations,Adhesive bonding machine operators and tenders,"$29,830"
Production Occupations,"Cleaning, washing, and metal pickling equipment operators and tenders","$26,210"
Production Occupations,Cooling and freezing equipment operators and tenders,"$28,200"
Production Occupations,Etchers and engravers,"$28,390"
Production Occupations,"Molders, shapers, and casters, except metal and plastic","$29,300"
Production Occupations,"Paper goods machine setters, operators, and tenders","$34,690"
Production Occupations,Tire builders,"$41,210"
Production Occupations,Helpers--production workers,"$22,810"
Production Occupations,"Production workers, all other","$26,940"
Transportation and Material Moving Occupations,Aircraft cargo handling supervisors,"$47,930"
Transportation and Material Moving Occupations,"First-line supervisors of helpers, laborers, and material movers, hand","$45,180"
Transportation and Material Moving Occupations,First-line supervisors of transportation and material-moving machine and vehicle operators,"$53,240"
Transportation and Material Moving Occupations,"Airline pilots, copilots, and flight engineers","$114,200"
Transportation and Material Moving Occupations,Commercial pilots,"$73,280"
Transportation and Material Moving Occupations,Air traffic controllers,"$122,530"
Transportation and Material Moving Occupations,Airfield operations specialists,"$48,080"
Transportation and Material Moving Occupations,Flight attendants,"$37,240"
Transportation and Material Moving Occupations,"Ambulance drivers and attendants, except emergency medical technicians","$23,440"
Transportation and Material Moving Occupations,"Bus drivers, transit and intercity ","$36,600"
Transportation and Material Moving Occupations,"Bus drivers, school or special client ","$28,080"
Transportation and Material Moving Occupations,Driver/sales workers,"$22,670"
Transportation and Material Moving Occupations,Heavy and tractor-trailer truck drivers,"$38,200"
Transportation and Material Moving Occupations,Light truck or delivery services drivers,"$29,390"
Transportation and Material Moving Occupations,Taxi drivers and chauffeurs,"$22,820"
Transportation and Material Moving Occupations,"Motor vehicle operators, all other","$26,930"
Transportation and Material Moving Occupations,Locomotive engineers,"$52,280"
Transportation and Material Moving Occupations,Locomotive firers,"$44,920"
Transportation and Material Moving Occupations,"Rail yard engineers, dinkey operators, and hostlers","$41,230"
Transportation and Material Moving Occupations,"Railroad brake, signal, and switch operators","$51,340"
Transportation and Material Moving Occupations,Railroad conductors and yardmasters,"$54,700"
Transportation and Material Moving Occupations,Subway and streetcar operators,"$62,730"
Transportation and Material Moving Occupations,"Rail transportation workers, all other","$55,080"
Transportation and Material Moving Occupations,Sailors and marine oilers,"$38,190"
Transportation and Material Moving Occupations,"Captains, mates, and pilots of water vessels","$66,150"
Transportation and Material Moving Occupations,Motorboat operators,"$35,190"
Transportation and Material Moving Occupations,Ship engineers,"$70,890"
Transportation and Material Moving Occupations,Bridge and lock tenders,"$45,940"
Transportation and Material Moving Occupations,Parking lot attendants,"$19,540"
Transportation and Material Moving Occupations,Automotive and watercraft service attendants,"$20,140"
Transportation and Material Moving Occupations,Traffic technicians,"$38,380"
Transportation and Material Moving Occupations,Transportation inspectors,"$63,680"
Transportation and Material Moving Occupations,"Transportation attendants, except flight attendants ","$21,490"
Transportation and Material Moving Occupations,"Transportation workers, all other","$30,870"
Transportation and Material Moving Occupations,Conveyor operators and tenders,"$29,610"
Transportation and Material Moving Occupations,Crane and tower operators,"$47,290"
Transportation and Material Moving Occupations,Dredge operators,"$37,170"
Transportation and Material Moving Occupations,Excavating and loading machine and dragline operators,"$38,290"
Transportation and Material Moving Occupations,"Loading machine operators, underground mining","$48,420"
Transportation and Material Moving Occupations,Hoist and winch operators,"$39,960"
Transportation and Material Moving Occupations,Industrial truck and tractor operators,"$30,220"
Transportation and Material Moving Occupations,Cleaners of vehicles and equipment,"$19,850"
Transportation and Material Moving Occupations,"Laborers and freight, stock, and material movers, hand","$23,890"
Transportation and Material Moving Occupations,Machine feeders and offbearers,"$27,120"
Transportation and Material Moving Occupations,"Packers and packagers, hand","$19,910"
Transportation and Material Moving Occupations,Gas compressor and gas pumping station operators,"$51,150"
Transportation and Material Moving Occupations,"Pump operators, except wellhead pumpers","$44,610"
Transportation and Material Moving Occupations,Wellhead pumpers,"$45,690"
Transportation and Material Moving Occupations,Refuse and recyclable material collectors,"$32,930"
Transportation and Material Moving Occupations,Mine shuttle car operators,"$52,110"
Transportation and Material Moving Occupations,"Tank car, truck, and ship loaders","$44,100"
Transportation and Material Moving Occupations,"Material moving workers, all other","$37,320"
