Occupational Group,Detail Occupation ,Median Annual Wage
Architecture and Engineering Occupations,Environmental engineering technicians,"$45,350"
Architecture and Engineering Occupations,Industrial engineering technicians,"$50,980"
Architecture and Engineering Occupations,Mechanical engineering technicians,"$51,980"
Architecture and Engineering Occupations,"Engineering technicians, except drafters, all other","$59,440"
Architecture and Engineering Occupations,Surveying and mapping technicians,"$39,670"
"Life, Physical, and Social Science Occupations",Animal scientists,"$61,680"
"Life, Physical, and Social Science Occupations",Food scientists and technologists,"$58,070"
"Life, Physical, and Social Science Occupations",Soil and plant scientists,"$58,740"
"Life, Physical, and Social Science Occupations",Biochemists and biophysicists,"$81,480"
"Life, Physical, and Social Science Occupations",Microbiologists,"$66,260"
"Life, Physical, and Social Science Occupations",Zoologists and wildlife biologists,"$57,710"
"Life, Physical, and Social Science Occupations","Biological scientists, all other","$72,700"
"Life, Physical, and Social Science Occupations",Conservation scientists,"$61,100"
"Life, Physical, and Social Science Occupations",Foresters,"$55,950"
"Life, Physical, and Social Science Occupations",Epidemiologists,"$65,270"
"Life, Physical, and Social Science Occupations","Medical scientists, except epidemiologists","$76,980"
"Life, Physical, and Social Science Occupations","Life scientists, all other","$65,330"
"Life, Physical, and Social Science Occupations",Astronomers,"$96,460"
"Life, Physical, and Social Science Occupations",Physicists,"$106,840"
"Life, Physical, and Social Science Occupations",Atmospheric and space scientists,"$89,260"
"Life, Physical, and Social Science Occupations",Chemists,"$71,770"
"Life, Physical, and Social Science Occupations",Materials scientists,"$88,990"
"Life, Physical, and Social Science Occupations","Environmental scientists and specialists, including health","$63,570"
"Life, Physical, and Social Science Occupations","Geoscientists, except hydrologists and geographers","$90,890"
"Life, Physical, and Social Science Occupations",Hydrologists,"$75,530"
"Life, Physical, and Social Science Occupations","Physical scientists, all other","$91,640"
"Life, Physical, and Social Science Occupations",Economists,"$91,860"
"Life, Physical, and Social Science Occupations",Survey researchers,"$45,050"
"Life, Physical, and Social Science Occupations","Clinical, counseling, and school psychologists","$67,650"
"Life, Physical, and Social Science Occupations",Industrial-organizational psychologists,"$83,580"
"Life, Physical, and Social Science Occupations","Psychologists, all other","$90,020"
"Life, Physical, and Social Science Occupations",Sociologists,"$74,960"
"Life, Physical, and Social Science Occupations",Urban and regional planners,"$65,230"
"Life, Physical, and Social Science Occupations",Anthropologists and archeologists,"$57,420"
"Life, Physical, and Social Science Occupations",Geographers,"$74,760"
"Life, Physical, and Social Science Occupations",Historians,"$52,480"
"Life, Physical, and Social Science Occupations",Political scientists,"$102,000"
"Life, Physical, and Social Science Occupations","Social scientists and related workers, all other","$76,540"
"Life, Physical, and Social Science Occupations",Agricultural and food science technicians,"$34,070"
"Life, Physical, and Social Science Occupations",Biological technicians,"$39,750"
"Life, Physical, and Social Science Occupations",Chemical technicians,"$42,920"
"Life, Physical, and Social Science Occupations",Geological and petroleum technicians,"$52,700"
"Life, Physical, and Social Science Occupations",Nuclear technicians,"$69,060"
"Life, Physical, and Social Science Occupations",Social science research assistants,"$37,140"
"Life, Physical, and Social Science Occupations","Environmental science and protection technicians, including health","$41,240"
"Life, Physical, and Social Science Occupations",Forensic science technicians,"$52,840"
"Life, Physical, and Social Science Occupations",Forest and conservation technicians,"$33,920"
"Life, Physical, and Social Science Occupations","Life, physical, and social science technicians, all other","$43,130"
Community and Social Service Occupations,Substance abuse and behavioral disorder counselors,"$38,520"
Community and Social Service Occupations,"Educational, guidance, school, and vocational counselors","$53,610"
Community and Social Service Occupations,Marriage and family therapists,"$46,670"
