OccupationsGroup,DetailGroup,Wages
"Life, Physical, and Social Science Occupations","Medical scientists, except epidemiologists",76980
"Life, Physical, and Social Science Occupations","Life scientists, all other",65330
"Life, Physical, and Social Science Occupations",Astronomers,96460
"Life, Physical, and Social Science Occupations",Physicists,106840
"Life, Physical, and Social Science Occupations",Atmospheric and space scientists,89260
"Life, Physical, and Social Science Occupations",Chemists,71770
"Life, Physical, and Social Science Occupations",Materials scientists,88990
"Life, Physical, and Social Science Occupations","Environmental scientists and specialists, including health",63570
"Life, Physical, and Social Science Occupations","Geoscientists, except hydrologists and geographers",90890
"Life, Physical, and Social Science Occupations",Hydrologists,75530
"Life, Physical, and Social Science Occupations","Physical scientists, all other",91640
"Life, Physical, and Social Science Occupations",Economists,91860
"Life, Physical, and Social Science Occupations",Survey researchers,45050
"Life, Physical, and Social Science Occupations","Clinical, counseling, and school psychologists",67650
"Life, Physical, and Social Science Occupations",Industrial-organizational psychologists,83580
"Life, Physical, and Social Science Occupations","Psychologists, all other",90020
"Life, Physical, and Social Science Occupations",Sociologists,74960
"Life, Physical, and Social Science Occupations",Urban and regional planners,65230
"Life, Physical, and Social Science Occupations",Anthropologists and archeologists,57420
"Life, Physical, and Social Science Occupations",Geographers,74760
"Life, Physical, and Social Science Occupations",Historians,52480
"Life, Physical, and Social Science Occupations",Political scientists,102000
"Life, Physical, and Social Science Occupations","Social scientists and related workers, all other",76540
"Life, Physical, and Social Science Occupations",Agricultural and food science technicians,34070
"Life, Physical, and Social Science Occupations",Biological technicians,39750
"Life, Physical, and Social Science Occupations",Chemical technicians,42920
"Life, Physical, and Social Science Occupations",Geological and petroleum technicians,52700
"Life, Physical, and Social Science Occupations",Nuclear technicians,69060
"Life, Physical, and Social Science Occupations",Social science research assistants,37140
"Life, Physical, and Social Science Occupations","Environmental science and protection technicians, including health",41240
"Life, Physical, and Social Science Occupations",Forensic science technicians,52840
"Life, Physical, and Social Science Occupations",Forest and conservation technicians,33920
"Life, Physical, and Social Science Occupations","Life, physical, and social science technicians, all other",43130
Community and Social Service Occupations,Substance abuse and behavioral disorder counselors,38520
Community and Social Service Occupations,"Educational, guidance, school, and vocational counselors",53610
Community and Social Service Occupations,Marriage and family therapists,46670
Community and Social Service Occupations,Mental health counselors,40080
Community and Social Service Occupations,Rehabilitation counselors,33880
Community and Social Service Occupations,"Counselors, all other",43810
Community and Social Service Occupations,"Child, family, and school social workers",41530
Community and Social Service Occupations,Healthcare social workers,49830
Community and Social Service Occupations,Mental health and substance abuse social workers,39980
Community and Social Service Occupations,"Social workers, all other",54560
Community and Social Service Occupations,Health educators ,48790
Community and Social Service Occupations,Probation officers and correctional treatment specialists,48190
Community and Social Service Occupations,Social and human service assistants,28850
Community and Social Service Occupations,Community health workers,34620
Community and Social Service Occupations,"Community and social service specialists, all other",41060
Community and Social Service Occupations,Clergy,44060
Community and Social Service Occupations,"Directors, religious activities and education",37280
Community and Social Service Occupations,"Religious workers, all other",26380
Legal Occupations,Lawyers,113530
Legal Occupations,Judicial law clerks,47120
Legal Occupations,"Administrative law judges, adjudicators, and hearing officers",87240
Legal Occupations,"Arbitrators, mediators, and conciliators",61280
Legal Occupations,"Judges, magistrate judges, and magistrates",115760
Legal Occupations,Paralegals and legal assistants,46990
Legal Occupations,Court reporters,48160
Legal Occupations,"Title examiners, abstractors, and searchers",41970
Legal Occupations,"Legal support workers, all other",52660
"Education, Training, and Library Occupations","Business teachers, postsecondary",73660
"Education, Training, and Library Occupations","Computer science teachers, postsecondary",72200
"Education, Training, and Library Occupations","Mathematical science teachers, postsecondary",64990
"Education, Training, and Library Occupations","Architecture teachers, postsecondary",71610
"Education, Training, and Library Occupations","Engineering teachers, postsecondary",92670
"Education, Training, and Library Occupations","Agricultural sciences teachers, postsecondary",80490
"Education, Training, and Library Occupations","Biological science teachers, postsecondary",74180
"Education, Training, and Library Occupations","Forestry and conservation science teachers, postsecondary",81930
"Education, Training, and Library Occupations","Atmospheric, earth, marine, and space sciences teachers, postsecondary",82180
"Education, Training, and Library Occupations","Chemistry teachers, postsecondary",71140
"Education, Training, and Library Occupations","Environmental science teachers, postsecondary",77320
"Education, Training, and Library Occupations","Physics teachers, postsecondary",78540
"Education, Training, and Library Occupations","Anthropology and archeology teachers, postsecondary",76020
"Education, Training, and Library Occupations","Area, ethnic, and cultural studies teachers, postsecondary",67360
"Education, Training, and Library Occupations","Economics teachers, postsecondary",87950
"Education, Training, and Library Occupations","Geography teachers, postsecondary",67820
"Education, Training, and Library Occupations","Political science teachers, postsecondary",72170
"Education, Training, and Library Occupations","Psychology teachers, postsecondary",68020
"Education, Training, and Library Occupations","Sociology teachers, postsecondary",66150
"Education, Training, and Library Occupations","Social sciences teachers, postsecondary, all other",69890
"Education, Training, and Library Occupations","Health specialties teachers, postsecondary",81140
"Education, Training, and Library Occupations","Nursing instructors and teachers, postsecondary",64850
"Education, Training, and Library Occupations","Education teachers, postsecondary",59350
"Education, Training, and Library Occupations","Library science teachers, postsecondary",65780
"Education, Training, and Library Occupations","Criminal justice and law enforcement teachers, postsecondary",58040
"Education, Training, and Library Occupations","Law teachers, postsecondary",99950
"Education, Training, and Library Occupations","Social work teachers, postsecondary",63250
"Education, Training, and Library Occupations","Art, drama, and music teachers, postsecondary",62160
"Education, Training, and Library Occupations","Communications teachers, postsecondary",62180
"Education, Training, and Library Occupations","English language and literature teachers, postsecondary",60040
"Education, Training, and Library Occupations","Foreign language and literature teachers, postsecondary",58670
"Education, Training, and Library Occupations","History teachers, postsecondary",65870
"Education, Training, and Library Occupations","Philosophy and religion teachers, postsecondary",64990
"Education, Training, and Library Occupations",Graduate teaching assistants,31270
"Education, Training, and Library Occupations","Home economics teachers, postsecondary",64040
"Education, Training, and Library Occupations","Recreation and fitness studies teachers, postsecondary",57920
"Education, Training, and Library Occupations","Vocational education teachers, postsecondary",47990
"Education, Training, and Library Occupations","Postsecondary teachers, all other",64290
"Education, Training, and Library Occupations","Preschool teachers, except special education",27130
"Education, Training, and Library Occupations","Kindergarten teachers, except special education",50120
"Education, Training, and Library Occupations","Elementary school teachers, except special education",53400
"Education, Training, and Library Occupations","Middle school teachers, except special and career/technical education",53430
"Education, Training, and Library Occupations","Career/technical education teachers, middle school",54220
"Education, Training, and Library Occupations","Secondary school teachers, except special and career/technical education",55050
"Education, Training, and Library Occupations","Career/technical education teachers, secondary school",55160
"Education, Training, and Library Occupations","Special education teachers, preschool",52480
"Education, Training, and Library Occupations","Special education teachers, kindergarten and elementary school",53820
"Education, Training, and Library Occupations","Special education teachers, middle school",55780
"Education, Training, and Library Occupations","Special education teachers, secondary school",56830
"Education, Training, and Library Occupations","Special education teachers, all other",51980
"Education, Training, and Library Occupations",Adult basic and secondary education and literacy teachers and instructors ,48590
"Education, Training, and Library Occupations",Self-enrichment education teachers,35320
"Education, Training, and Library Occupations","Teachers and instructors, all other",28540
"Education, Training, and Library Occupations",Archivists,47340
"Education, Training, and Library Occupations",Curators,49590
"Education, Training, and Library Occupations",Museum technicians and conservators,38220
"Education, Training, and Library Occupations",Librarians,55370
"Education, Training, and Library Occupations",Library technicians,30660
"Education, Training, and Library Occupations",Audio-visual and multimedia collections specialists,43350
"Education, Training, and Library Occupations",Farm and home management advisors,46760
"Education, Training, and Library Occupations",Instructional coordinators,60050
"Education, Training, and Library Occupations",Teacher assistants,23640
"Education, Training, and Library Occupations","Education, training, and library workers, all other",36610
"Arts, Design, Entertainment, Sports, and Media Occupations",Art directors,80880
"Arts, Design, Entertainment, Sports, and Media Occupations",Craft artists,29600
"Arts, Design, Entertainment, Sports, and Media Occupations","Fine artists, including painters, sculptors, and illustrators",44850
"Arts, Design, Entertainment, Sports, and Media Occupations",Multimedia artists and animators,61370
"Arts, Design, Entertainment, Sports, and Media Occupations","Artists and related workers, all other",59840
"Arts, Design, Entertainment, Sports, and Media Occupations",Commercial and industrial designers,59610
"Arts, Design, Entertainment, Sports, and Media Occupations",Fashion designers,62860
"Arts, Design, Entertainment, Sports, and Media Occupations",Floral designers,23810
"Arts, Design, Entertainment, Sports, and Media Occupations",Graphic designers,44150
"Arts, Design, Entertainment, Sports, and Media Occupations",Interior designers,47600
"Arts, Design, Entertainment, Sports, and Media Occupations",Merchandise displayers and window trimmers,26410
"Arts, Design, Entertainment, Sports, and Media Occupations",Set and exhibit designers,50300
"Arts, Design, Entertainment, Sports, and Media Occupations","Designers, all other",45330
"Arts, Design, Entertainment, Sports, and Media Occupations",Producers and directors,71350
"Arts, Design, Entertainment, Sports, and Media Occupations",Athletes and sports competitors,40060
"Arts, Design, Entertainment, Sports, and Media Occupations",Coaches and scouts,28360
"Arts, Design, Entertainment, Sports, and Media Occupations","Umpires, referees, and other sports officials",23290
"Arts, Design, Entertainment, Sports, and Media Occupations",Choreographers,38120
"Arts, Design, Entertainment, Sports, and Media Occupations",Music directors and composers,47350
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio and television announcers,28020
"Arts, Design, Entertainment, Sports, and Media Occupations",Public address system and other announcers,26230
"Arts, Design, Entertainment, Sports, and Media Occupations",Broadcast news analysts,55380
"Arts, Design, Entertainment, Sports, and Media Occupations",Reporters and correspondents,35870
"Arts, Design, Entertainment, Sports, and Media Occupations",Public relations specialists,54170
"Arts, Design, Entertainment, Sports, and Media Occupations",Editors,53880
"Arts, Design, Entertainment, Sports, and Media Occupations",Technical writers,65500
"Arts, Design, Entertainment, Sports, and Media Occupations",Writers and authors,55940
"Arts, Design, Entertainment, Sports, and Media Occupations",Interpreters and translators,45430
"Arts, Design, Entertainment, Sports, and Media Occupations","Media and communication workers, all other",45160
"Arts, Design, Entertainment, Sports, and Media Occupations",Audio and video equipment technicians,41850
"Arts, Design, Entertainment, Sports, and Media Occupations",Broadcast technicians,37880
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio operators,42080
"Arts, Design, Entertainment, Sports, and Media Occupations",Sound engineering technicians,46310
"Arts, Design, Entertainment, Sports, and Media Occupations",Photographers,28490
"Arts, Design, Entertainment, Sports, and Media Occupations","Camera operators, television, video, and motion picture",40300
"Arts, Design, Entertainment, Sports, and Media Occupations",Film and video editors,51300
"Arts, Design, Entertainment, Sports, and Media Occupations","Media and communication equipment workers, all other",68810
Healthcare Practitioners and Technical Occupations,Chiropractors,66160
Healthcare Practitioners and Technical Occupations,"Dentists, general",145240
Healthcare Practitioners and Technical Occupations,Oral and maxillofacial surgeons,187200
Healthcare Practitioners and Technical Occupations,Orthodontists,187200
Healthcare Practitioners and Technical Occupations,Prosthodontists,169130
Healthcare Practitioners and Technical Occupations,"Dentists, all other specialists",154990
Healthcare Practitioners and Technical Occupations,Dietitians and nutritionists,55240
Healthcare Practitioners and Technical Occupations,Optometrists,97820
Healthcare Practitioners and Technical Occupations,Pharmacists,116670
Healthcare Practitioners and Technical Occupations,Anesthesiologists,187200
Healthcare Practitioners and Technical Occupations,Family and general practitioners,172020
Healthcare Practitioners and Technical Occupations,"Internists, general",187200
Healthcare Practitioners and Technical Occupations,Obstetricians and gynecologists,187200
Healthcare Practitioners and Technical Occupations,"Pediatricians, general",154650
Healthcare Practitioners and Technical Occupations,Psychiatrists,173330
Healthcare Practitioners and Technical Occupations,Surgeons,187200
Healthcare Practitioners and Technical Occupations,"Physicians and surgeons, all other",187200
Healthcare Practitioners and Technical Occupations,Physician assistants,90930
Healthcare Practitioners and Technical Occupations,Podiatrists,116440
Healthcare Practitioners and Technical Occupations,Occupational therapists,75400
Healthcare Practitioners and Technical Occupations,Physical therapists,79860
Healthcare Practitioners and Technical Occupations,Radiation therapists,77560
Healthcare Practitioners and Technical Occupations,Recreational therapists,42280
Healthcare Practitioners and Technical Occupations,Respiratory therapists,55870
Healthcare Practitioners and Technical Occupations,Speech-language pathologists,69870
Healthcare Practitioners and Technical Occupations,Exercise physiologists,44770
Healthcare Practitioners and Technical Occupations,"Therapists, all other",53210
Healthcare Practitioners and Technical Occupations,Veterinarians,84460
Healthcare Practitioners and Technical Occupations,Registered nurses,65470
Healthcare Practitioners and Technical Occupations,Nurse anesthetists,148160
Healthcare Practitioners and Technical Occupations,Nurse midwives,89600
Healthcare Practitioners and Technical Occupations,Nurse practitioners,89960
Healthcare Practitioners and Technical Occupations,Audiologists,69720
Healthcare Practitioners and Technical Occupations,"Health diagnosing and treating practitioners, all other",72710
Healthcare Practitioners and Technical Occupations,Medical and clinical laboratory technologists,57580
Healthcare Practitioners and Technical Occupations,Medical and clinical laboratory technicians,37240
Healthcare Practitioners and Technical Occupations,Dental hygienists,70210
Healthcare Practitioners and Technical Occupations,Cardiovascular technologists and technicians,52070
Healthcare Practitioners and Technical Occupations,Diagnostic medical sonographers,65860
Healthcare Practitioners and Technical Occupations,Nuclear medicine technologists,70180
Healthcare Practitioners and Technical Occupations,Radiologic technologists ,54620
Healthcare Practitioners and Technical Occupations,Magnetic resonance imaging technologists,65360
Healthcare Practitioners and Technical Occupations,Emergency medical technicians and paramedics,31020
Healthcare Practitioners and Technical Occupations,Dietetic technicians,26260
Healthcare Practitioners and Technical Occupations,Pharmacy technicians,29320
Healthcare Practitioners and Technical Occupations,Psychiatric technicians,30050
Healthcare Practitioners and Technical Occupations,Respiratory therapy technicians,46760
Healthcare Practitioners and Technical Occupations,Surgical technologists,41790
Healthcare Practitioners and Technical Occupations,Veterinary technologists and technicians,30290
Healthcare Practitioners and Technical Occupations,Ophthalmic medical technicians,34240
Healthcare Practitioners and Technical Occupations,Licensed practical and licensed vocational nurses,41540
Healthcare Practitioners and Technical Occupations,Medical records and health information technicians,34160
Healthcare Practitioners and Technical Occupations,"Opticians, dispensing",33330
Healthcare Practitioners and Technical Occupations,Orthotists and prosthetists,62670
Healthcare Practitioners and Technical Occupations,Hearing aid specialists,41430
Healthcare Practitioners and Technical Occupations,"Health technologists and technicians, all other",40700
Healthcare Practitioners and Technical Occupations,Occupational health and safety specialists,66790
Healthcare Practitioners and Technical Occupations,Occupational health and safety technicians,47440
Healthcare Practitioners and Technical Occupations,Athletic trainers,42090
Healthcare Practitioners and Technical Occupations,Genetic counselors,56800
Healthcare Practitioners and Technical Occupations,"Healthcare practitioners and technical workers, all other",46180
Healthcare Support Occupations,Home health aides,20820
Healthcare Support Occupations,Psychiatric aides,24580
Healthcare Support Occupations,Nursing assistants,24420
Healthcare Support Occupations,Orderlies,23990
Healthcare Support Occupations,Occupational therapy assistants,53240
Healthcare Support Occupations,Occupational therapy aides,26850
Healthcare Support Occupations,Physical therapist assistants,52160
Healthcare Support Occupations,Physical therapist aides,23880
Healthcare Support Occupations,Massage therapists,35970
Healthcare Support Occupations,Dental assistants,34500
Healthcare Support Occupations,Medical assistants,29370
Healthcare Support Occupations,Medical equipment preparers,30820
Healthcare Support Occupations,Medical transcriptionists,34020
Healthcare Support Occupations,Pharmacy aides,21860
Healthcare Support Occupations,Veterinary assistants and laboratory animal caretakers,23130
Healthcare Support Occupations,Phlebotomists,29730
Healthcare Support Occupations,"Healthcare support workers, all other",32800
Protective Service Occupations,First-line supervisors of correctional officers,57840
Protective Service Occupations,First-line supervisors of police and detectives,78270
Protective Service Occupations,First-line supervisors of fire fighting and prevention workers,68210
Protective Service Occupations,"First-line supervisors of protective service workers, all other",45820
Protective Service Occupations,Firefighters,45250
Protective Service Occupations,Fire inspectors and investigators,53990
Protective Service Occupations,Forest fire inspectors and prevention specialists,35780
Protective Service Occupations,Bailiffs,36840
Protective Service Occupations,Correctional officers and jailers,39040
Protective Service Occupations,Detectives and criminal investigators,74300
Protective Service Occupations,Fish and game wardens,48070
Protective Service Occupations,Parking enforcement workers,35690
Protective Service Occupations,Police and sheriff's patrol officers,55270
Protective Service Occupations,Transit and railroad police,55210
Protective Service Occupations,Animal control workers,31680
Protective Service Occupations,Private detectives and investigators,45740
Protective Service Occupations,Gaming surveillance officers and gaming investigators,29610
Protective Service Occupations,Security guards,23970
Protective Service Occupations,Crossing guards,23910
Protective Service Occupations,"Lifeguards, ski patrol, and other recreational protective service workers",18950
Protective Service Occupations,Transportation security screeners,36850
Protective Service Occupations,"Protective service workers, all other",30460
Food Preparation and Serving Related Occupations,Chefs and head cooks,42480
Food Preparation and Serving Related Occupations,First-line supervisors of food preparation and serving workers,29270
Food Preparation and Serving Related Occupations,"Cooks, fast food",18410
Food Preparation and Serving Related Occupations,"Cooks, institution and cafeteria",22860
Food Preparation and Serving Related Occupations,"Cooks, private household",23470
Food Preparation and Serving Related Occupations,"Cooks, restaurant",22030
Food Preparation and Serving Related Occupations,"Cooks, short order",19730
Food Preparation and Serving Related Occupations,"Cooks, all other",23250
Food Preparation and Serving Related Occupations,Food preparation workers,19300
Food Preparation and Serving Related Occupations,Bartenders,18900
Food Preparation and Serving Related Occupations,"Combined food preparation and serving workers, including fast food",18260
Food Preparation and Serving Related Occupations,"Counter attendants, cafeteria, food concession, and coffee shop",18560
Food Preparation and Serving Related Occupations,Waiters and waitresses,18540
Food Preparation and Serving Related Occupations,"Food servers, nonrestaurant",19640
Food Preparation and Serving Related Occupations,Dining room and cafeteria attendants and bartender helpers,18500
Food Preparation and Serving Related Occupations,Dishwashers,18460
Food Preparation and Serving Related Occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",18580
Food Preparation and Serving Related Occupations,"Food preparation and serving related workers, all other",20300
Building and Grounds Cleaning and Maintenance Occupations,First-line supervisors of housekeeping and janitorial workers,35310
Building and Grounds Cleaning and Maintenance Occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",42160
Building and Grounds Cleaning and Maintenance Occupations,"Janitors and cleaners, except maids and housekeeping cleaners",22320
Building and Grounds Cleaning and Maintenance Occupations,Maids and housekeeping cleaners,19570
Building and Grounds Cleaning and Maintenance Occupations,"Building cleaning workers, all other",27570
Building and Grounds Cleaning and Maintenance Occupations,Pest control workers,30060
Building and Grounds Cleaning and Maintenance Occupations,Landscaping and groundskeeping workers,23570
Building and Grounds Cleaning and Maintenance Occupations,"Pesticide handlers, sprayers, and applicators, vegetation",30270
Building and Grounds Cleaning and Maintenance Occupations,Tree trimmers and pruners,32310
Building and Grounds Cleaning and Maintenance Occupations,"Grounds maintenance workers, all other",26760
Personal Care and Service Occupations,Gaming supervisors,49290
